Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID;Score;Url
32;4 estrellas [HDTV][480p][Cap.151];4 estrellas;4 estrellas;;HDTV;SD;Serie;;151;32;magnet:?xt=urn:btih:60e35b245db453c8b8ba8d553e8062aa4595fa92;60e35b245db453c8b8ba8d553e8062aa4595fa92;0;8.4;https://image.tmdb.org/t/p/w185/1jYlELmilsgUmjRxiVNa6U7TsBd.jpg
33;4 estrellas- Ds 56;4 estrellas- Ds 56;4 estrellas- Ds 56;;;;Pelicula;;;33;magnet:?xt=urn:btih:0a6a223e8a4c03c5a32f0a9eecacaa858d171346;0a6a223e8a4c03c5a32f0a9eecacaa858d171346;0;;
34;4 estrellas.54.m[720p]p;4 estrellas.54.m;4 estrellas.54.m;;;HD;Pelicula;;;34;magnet:?xt=urn:btih:a062dc22739e98897ccb0c65b9a32f48b5e69183;a062dc22739e98897ccb0c65b9a32f48b5e69183;0;;
35;9-1-1 Lone Star [HDTV][1080p][Cap.418];9-1-1 Lone Star;9-1-1 Lone Star;;HDTV;FHD;Serie;;418;35;magnet:?xt=urn:btih:9489b04288fb2c4154be75d8cb4d93d95b879fed;9489b04288fb2c4154be75d8cb4d93d95b879fed;0;8.1;https://image.tmdb.org/t/p/w185/3bV3trdMZqQOpHEjClrogw8TJzw.jpg
36;9-1-1 Lone Star [HDTV][480p][Cap.418];9-1-1 Lone Star;9-1-1 Lone Star;;HDTV;SD;Serie;;418;36;magnet:?xt=urn:btih:60235a0355b161e7f9846bde5205232f7543b87c;60235a0355b161e7f9846bde5205232f7543b87c;0;8.1;https://image.tmdb.org/t/p/w185/3bV3trdMZqQOpHEjClrogw8TJzw.jpg
37;9-1-1 Lone Star [HDTV][720p][Cap.418];9-1-1 Lone Star;9-1-1 Lone Star;;HDTV;HD;Serie;;418;37;magnet:?xt=urn:btih:2d9cef3766c199d1619bd452b4338b542d5b4ad8;2d9cef3766c199d1619bd452b4338b542d5b4ad8;0;8.1;https://image.tmdb.org/t/p/w185/3bV3trdMZqQOpHEjClrogw8TJzw.jpg
38;911 [HDTV][1080p][Cap.618];911;911;;HDTV;FHD;Serie;;618;38;magnet:?xt=urn:btih:c6e702530b08aff96b7f225be1dd7fd35884922d;c6e702530b08aff96b7f225be1dd7fd35884922d;b92fbdd623761c2e5534a7b944bee3d9adbd1713;8.2;https://image.tmdb.org/t/p/w185/rnFuvMp6xC447nul5fxF1cO7rpX.jpg
39;911 [HDTV][480p][Cap.618];911;911;;HDTV;SD;Serie;;618;39;magnet:?xt=urn:btih:00c6821163fdc18630649c58ab12676efc683b1c;00c6821163fdc18630649c58ab12676efc683b1c;0;8.2;https://image.tmdb.org/t/p/w185/rnFuvMp6xC447nul5fxF1cO7rpX.jpg
40;911 [HDTV][720p][Cap.618];911;911;;HDTV;HD;Serie;;618;40;magnet:?xt=urn:btih:fdb7da3e6e5e7645d02bc1130a8335be16dcda7c;fdb7da3e6e5e7645d02bc1130a8335be16dcda7c;4776a6f0c3d7e129cc08903fa76fd9cba2a3b84e;8.2;https://image.tmdb.org/t/p/w185/rnFuvMp6xC447nul5fxF1cO7rpX.jpg
41;97 minutos (2023) [Bluray][1080p][Esp];97 minutos (2023);97 minutos;2023;Bluray;FHD;Pelicula;Castellano;;41;magnet:?xt=urn:btih:5d3d9db17fef4174bd7a02d9789347734e182e3d;5d3d9db17fef4174bd7a02d9789347734e182e3d;272c7a43320804a730c4d1398e97967aba5527c5;4.7;https://image.tmdb.org/t/p/w185/doliwwEowu9RQ79lQYGOf79eJXC.jpg
42;97 minutos (2023) [Bluray][480p][Esp];97 minutos (2023);97 minutos;2023;Bluray;SD;Pelicula;Castellano;;42;magnet:?xt=urn:btih:497c7fe8423e6fc7f3c3191f53f8a1111973676e;497c7fe8423e6fc7f3c3191f53f8a1111973676e;350af0a766aba1e68ba96f2c2e4b358e96445d34;4.7;https://image.tmdb.org/t/p/w185/doliwwEowu9RQ79lQYGOf79eJXC.jpg
43;97 minutos (2023) [Bluray][720p][Esp];97 minutos (2023);97 minutos;2023;Bluray;HD;Pelicula;Castellano;;43;magnet:?xt=urn:btih:8a78f356ab796be778ce77c4573035dd0e089c04;8a78f356ab796be778ce77c4573035dd0e089c04;8953cdd8a0f5621a3bc972c78259f65b30a5decc;4.7;https://image.tmdb.org/t/p/w185/doliwwEowu9RQ79lQYGOf79eJXC.jpg
44;A Dios pongo por testigo (2023) [Bluray][480p][Esp];A Dios pongo por testigo (2023);A Dios pongo por testigo;2023;Bluray;SD;Pelicula;Castellano;;44;magnet:?xt=urn:btih:57d2464a57376786e1bc32981ba95a84aa01266c;57d2464a57376786e1bc32981ba95a84aa01266c;4fb6df9b5b23edf22d2d9c62561559a4bc055b00;;
45;A Dios pongo por testigo (2023) [Bluray][720p][Esp];A Dios pongo por testigo (2023);A Dios pongo por testigo;2023;Bluray;HD;Pelicula;Castellano;;45;magnet:?xt=urn:btih:049962cdfcbc192e4b0dbed3d3a38b707d0d9784;049962cdfcbc192e4b0dbed3d3a38b707d0d9784;eb7b116f378c41ce601b186db0031d83d7793d9f;;
46;A Traves Del Armario [HDTV][1080p][Cap.101];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;101;46;magnet:?xt=urn:btih:55ce22916d801d51f82c0af9858ce75fec88d15a;55ce22916d801d51f82c0af9858ce75fec88d15a;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
47;A Traves Del Armario [HDTV][1080p][Cap.102];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;102;47;magnet:?xt=urn:btih:a9dd5154ff6f6940009a7b109ff1478a06da01a8;a9dd5154ff6f6940009a7b109ff1478a06da01a8;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
48;A Traves Del Armario [HDTV][1080p][Cap.103];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;103;48;magnet:?xt=urn:btih:f0663912c29a680e4e079f240997af8ecc3ce9fc;f0663912c29a680e4e079f240997af8ecc3ce9fc;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
49;A Traves Del Armario [HDTV][1080p][Cap.104];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;104;49;magnet:?xt=urn:btih:d8df68ba1eb6f186081015e331ec214e17fd2911;d8df68ba1eb6f186081015e331ec214e17fd2911;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
50;A Traves Del Armario [HDTV][1080p][Cap.105];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;105;50;magnet:?xt=urn:btih:5689ccd75e2153ba1f1281c3e96de5df616ac5b0;5689ccd75e2153ba1f1281c3e96de5df616ac5b0;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
51;A Traves Del Armario [HDTV][1080p][Cap.106];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;106;51;magnet:?xt=urn:btih:d5b01b802a456d5e2a904b421f07c4e1dfff7559;d5b01b802a456d5e2a904b421f07c4e1dfff7559;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
52;A Traves Del Armario [HDTV][1080p][Cap.107];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;107;52;magnet:?xt=urn:btih:f22cb15705ceb0bf43c8ebc1dc54086dc63a8ac5;f22cb15705ceb0bf43c8ebc1dc54086dc63a8ac5;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
53;A Traves Del Armario [HDTV][1080p][Cap.108];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;108;53;magnet:?xt=urn:btih:f8069ada4ccb0a819107b9e24ae122e06f8ae6ad;f8069ada4ccb0a819107b9e24ae122e06f8ae6ad;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
54;A Traves Del Armario [HDTV][1080p][Cap.109];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;109;54;magnet:?xt=urn:btih:1fbf40a19d569f69fc6164a79a9130a6675b125b;1fbf40a19d569f69fc6164a79a9130a6675b125b;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
55;A Traves Del Armario [HDTV][1080p][Cap.110];A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;110;55;magnet:?xt=urn:btih:a93380c8b2e82d08f032522b60b85b20f59ebd74;a93380c8b2e82d08f032522b60b85b20f59ebd74;0;8.8;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
